X1,X2,X3,X4,X5,X6
xgb,Accuracy,Kappa,Sensitivity,Specificity,AUC
FEng_cPD_int,0.943248532289628,0.246695811305409,0.229166666666667,0.978439425051335,0.603803045859001
FEng_cPD_num,0.946183953033268,0.0779501984843035,0.0652173913043478,0.987704918032787,0.526461154668567
FEng_int,0.946717411988582,0.177644264356575,0.14,0.987012987012987,0.563506493506494
FEng_num,0.951265229615745,0.0209627329192535,0.0232558139534884,0.990234375,0.506745094476744
Oversampled_FEng_binned_cDP_int,0.811154598825832,0.126928763024407,0.479166666666667,0.827515400410678,0.653341033538672
Oversampled_FEng_binned_cDP_num,0.946183953033268,0.0779501984843035,0.0652173913043478,0.987704918032787,0.526461154668567
Oversampled_FEng_binned_int,0.810656517602284,0.0769431069409448,0.34,0.834165834165834,0.587082917082917
Oversampled_FEng_binned_num,0.942830365510778,0.0352193053970324,0.0465116279069767,0.98046875,0.513490188953488
Oversampled_FEng_cDP_int,0.935420743639922,0.162503104047679,0.166666666666667,0.973305954825462,0.569986310746064
Oversampled_FEng_cDP_num,0.938356164383562,0.0836298425891676,0.0869565217391304,0.978483606557377,0.532720064148254
Oversampled_FEng_int,0.940057088487155,0.153578687665384,0.14,0.98001998001998,0.56000999000999
Oversampled_FEng_num,0.936269915651359,0.0728141692437435,0.0930232558139535,0.9716796875,0.532351471656977
