X1,X2,X3,X4,X5,X6
rf,Accuracy,Kappa,Sensitivity,Specificity,AUC
FEng_cDP_int,0.953033268101761,0,0,1,0.5
FEng_cDP_num,0.954011741682975,-0.00191898544074178,0,0.998975409836066,0.499487704918033
FEng_int,0.952426260704091,0,0,1,0.5
FEng_num,0.958762886597938,-0.00183517562203876,0,0.9990234375,0.49951171875
Oversampled_FEng_binned_cDP_int,0.793542074363992,0.111084545941712,0.479166666666667,0.809034907597536,0.644100787132101
Oversampled_FEng_binned_cDP_num,0.946183953033268,-0.0149507060055598,0,0.99077868852459,0.495389344262295
Oversampled_FEng_binned_int,0.808753568030447,0.0830602421143554,0.36,0.831168831168831,0.595584415584416
Oversampled_FEng_binned_num,0.946579194001874,0.0123097909933909,0.0232558139534884,0.9853515625,0.504303688226744
Oversampled_FEng_cDP_int,0.924657534246575,0.0956999379467259,0.125,0.964065708418891,0.544532854209446
Oversampled_FEng_cDP_num,0.930528375733855,0.108815799169758,0.130434782608696,0.968237704918033,0.549336243763364
Oversampled_FEng_int,0.934348239771646,0.115956162914019,0.12,0.975024975024975,0.547512487512488
Oversampled_FEng_num,0.9456419868791,0.0691314942390414,0.0697674418604651,0.982421875,0.526094658430233
