X1,X2,X3,X4,X5,X6
glm,Accuracy,Kappa,Sensitivity,Specificity,AUC
FEng_cDP_int,0.953033268101761,0,0,1,0.5
FEng_cDP_num,0.954990215264188,0,0,1,0.5
FEng_int,0.952426260704091,0,0,1,0.5
FEng_num,0.959700093720712,0,0,1,0.5
Oversampled_FEng_binned_cDP_int,0.776908023483366,0.152669090909091,0.666666666666667,0.782340862422998,0.724503764544832
Oversampled_FEng_binned_cDP_num,0.780821917808219,0.18097255216234,0.782608695652174,0.780737704918033,0.781673200285103
Oversampled_FEng_binned_int,0.808753568030447,0.133154972691946,0.5,0.824175824175824,0.662087912087912
Oversampled_FEng_binned_num,0.76194939081537,0.151955691845547,0.790697674418605,0.7607421875,0.775719930959302
Oversampled_FEng_cDP_int,0.936399217221135,0.202693295566383,0.208333333333333,0.972279260780287,0.59030629705681
Oversampled_FEng_cDP_num,0.937377690802348,0.168175806287517,0.173913043478261,0.973360655737705,0.573636849607983
Oversampled_FEng_int,0.943862987630828,0.187566328201769,0.16,0.983016983016983,0.571508491508491
Oversampled_FEng_num,0.780693533270853,0.162148739253284,0.767441860465116,0.78125,0.774345930232558
